id,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
101241,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,LUJAN,AV. PELLEGRINI 1050,-34.561648,-59.103745,Luján,Hipermercado
10125,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,SAN FERNANDO,RUTA 202 NONE,-34.453587,-58.57552800000001,San Fernando,Hipermercado
101259,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-S,VENADO TUERTO,BVARD. 12 DE OCTUBRE 1060,-33.744187,-61.982983,Venado Tuerto,Hipermercado
10126,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,WARNES 2707,-34.595836,-58.473941,Warnes,Hipermercado
101268,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-S,ROSARIO,PUEYRREDON 747,-32.942435,-60.657028,Rosario Pueyrredón,Hipermercado
101271,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. MONROE 1655,-34.55398,-58.452838,Belgrano,Hipermercado
10128,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,PILAR,AV. LAGOMARSINO 905,-34.454933000000004,-58.894408,Pilar,Hipermercado
10129,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-M,MENDOZA,LAS HERAS 798,-32.885049,-68.848197,Mendoza Azul Centro,Hipermercado
101292,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-U,COMODORO RIVADAVIA,AV. POLONIA 1340,-45.870032,-67.532667,Comodoro Rivadavia Polonia,Hipermercado
101294,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,ITUZAINGO,BLAS PARERA 650,-34.665048,-58.66264,Ituzaingó II,Hipermercado
101297,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,GENERAL RODRIGUEZ,BERNARDO DE IRIGOYEN 1500,-34.611076000000004,-58.941293,Gral. Rodríguez,Supermercado
10130,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. GRAL. PAZ 12950,-34.663863,-58.514126,Mataderos,Hipermercado
10131,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,TANDIL,PANAMA 351,-37.324111,-59.11456800000001,Tandil,Hipermercado
10132,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-S,ROSARIO,C. PELLEGRINI 3250,-32.951846999999994,-60.670442,Rosario Centro,Hipermercado
10133,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-S,ROSARIO,NECOCHEA 2579,-32.970122,-60.62856,Rosario Sur,Hipermercado
10136,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,ITUZAINGO,AV. ING. RATTI 1860,-34.647756,-58.688217,Ituzaingó,Hipermercado
10140,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,TEMPERLEY,AV. EVA PERON 2679,-34.763559,-58.36439100000001,Temperley,Hipermercado
10141,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-S,ROSARIO,EVA PERON 5856,-32.934019,-60.702038,Rosario Village,Supermercado
10142,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,MERLO,AV. ARGENTINA 1915,-34.679311,-58.72799200000001,Merlo,Hipermercado
10143,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,HAEDO,DR. LUIS GUEMES 369,-34.638763,-58.581518,Haedo,Hipermercado
10144,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-H,RESISTENCIA,AV. AVALOS NONE,-27.4388,-58.987383,Resistencia II,Hipermercado
10145,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-U,TRELEW,25 DE MAYO 1665,-43.258861,-65.329062,Trelew III,Supermercado
10146,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-T,SAN MIGUEL DE TUCUMAN,AV. CATAMARCA 1116,-26.814605,-65.209515,Tucumán III,Hipermercado
10147,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,MARTIN CORONADO,AV. PDTE. J. D. PERON 7055,-34.587243,-58.593697,Martín Coronado,Hipermercado
10148,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-Z,RIO GALLEGOS,PASEO DE LOS ARRIEROS 1098,-51.62821,-69.24676099999999,Rio Gallegos II,Hipermercado
10149,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,FLORENCIO VARELA,AV. GRAL. JOSE DE SAN MARTIN 554,-34.779585,-58.279265,Florencio Varela,Hipermercado
1015,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. ALVAREZ JONTE 6383,-34.633237,-58.521966000000006,Vélez Sarsfield,Hipermercado
10150,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-X,QUINTAS DE ARGUELLO,RECTA MARTINOLLI 7850,-31.346646000000003,-64.269297,Córdoba Recta Martinolli,Hipermercado
